WN,137,HOU,PHX,-2,1020,-4
AA,1165,BOS,JFK,-2,187,-13
AA,2253,MSP,DFW,3,852,-6
AS,504,SEA,SNA,-6,978,-5
B6,99,BDL,DCA,-8,313,-23
B6,962,SJU,BOS,76,1674,90
B6,2006,FLL,EWR,0,1065,8
DL,828,MOB,ATL,-2,302,-13
DL,978,SAN,SLC,-4,626,-10
DL,985,LAS,SLC,-6,368,-13
DL,1275,DCA,DTW,-6,405,3
DL,2384,SMF,SLC,-7,532,16
DL,1610,DEN,DTW,-2,1123,-44
DL,1866,SFO,ATL,1,2139,-3
DL,1919,LGA,MSP,-4,1020,-4
EV,2522,LAW,DFW,364,140,376
EV,2512,BRO,DFW,-11,482,-24
EV,2572,PIB,MEI,-8,69,-11
EV,4531,CHS,IAH,8,925,36
EV,4655,MEM,IAH,6,468,9
EV,5123,MGM,ATL,-6,147,-12
F9,582,SLC,DEN,2,391,14
F9,439,OMA,DEN,-6,472,-12
MQ,3432,DCA,JFK,164,213,161
MQ,3568,CMH,LGA,-5,479,-20
OO,5348,SBP,LAX,-2,156,-9
OO,5256,COS,IAH,-1,809,13
OO,4747,OAK,SLC,-3,588,-1
OO,5464,LAR,DEN,-4,113,11
OO,5608,SAN,LAX,-1,109,-5
OO,5636,BFL,SFO,-7,238,-10
OO,6571,DRO,PHX,16,351,56
OO,6573,MRY,PHX,-5,598,-15
OO,6616,FAT,PHX,-1,493,10
NK,612,MSP,ORD,2,334,-19
NK,940,DFW,ORD,3,802,-17
OO,6368,BIS,DEN,-4,516,-9
HA,101,ITO,HNL,-1,216,1
B6,762,PBI,LGA,12,1035,11
OO,5249,SAT,ORD,29,1041,-3
UA,207,FLL,IAH,-6,965,-5
US,1931,BUF,CLT,5,546,4
UA,732,SEA,ORD,-7,1721,-28
WN,698,CMH,FLL,3,973,-9
WN,799,LAS,HOU,-2,1235,-2
WN,687,PVD,MCO,11,1072,-4
WN,823,SAN,BWI,0,2295,-23
WN,603,SAN,MDW,-3,1728,-29
WN,885,SMF,PHX,-5,647,-10
UA,1192,SAN,DEN,-2,853,-9
UA,1568,SAN,EWR,-5,2425,-42
US,460,SJC,PHX,-6,621,-9
AA,1186,DFW,BOS,-6,1562,-5
AA,1390,SAN,DFW,-8,1171,-24
AA,2420,LAX,DFW,-1,1235,-1
AS,545,ONT,SEA,-7,956,-10
AA,955,RDU,MIA,-8,700,10
DL,2129,ROC,ATL,3,749,-10
DL,1518,MCO,ATL,-7,404,-9
DL,1588,DCA,MSP,-1,931,6
EV,4468,CAE,IAH,1,878,24
EV,5534,BTR,ATL,0,448,-14
F9,1338,IAD,MSP,-11,908,-15
NK,470,PDX,SAN,-4,933,-12
NK,742,DFW,MSP,5,852,-5
OO,4762,PSP,SLC,10,541,9
OO,4716,ISN,MSP,-3,546,-7
OO,5616,HLN,DEN,0,594,3
UA,1026,MCO,IAH,16,854,20
B6,1481,BOS,RIC,-5,474,-11
F9,344,BZN,DEN,-9,524,-12
OO,4624,FAT,SLC,-2,501,12
OO,6372,FSD,DEN,4,483,-2
NK,200,IAH,ORD,-3,925,-15
UA,206,EWR,IAH,-1,1400,-3
DL,1515,PIT,DTW,-3,201,-31
US,1982,FLL,CLT,-9,631,-10
UA,525,MIA,EWR,-1,1085,3
WN,871,DEN,ATL,0,1199,-19
WN,343,MDW,PHX,0,1444,11
US,598,LAX,PHL,-1,2402,-17
AA,127,IAD,DFW,-3,1172,17
AA,1079,CLT,DFW,-5,936,7
AA,1207,PHL,DFW,164,1303,167
AA,1343,DFW,CLT,-7,936,-18
AA,2379,RDU,DFW,-7,1061,5
AA,2272,SAT,DFW,-6,247,-22
AS,124,FAI,SEA,-11,1533,4
B6,70,FLL,BOS,-1,1237,5
B6,966,RSW,BOS,3,1249,3
DL,891,MIA,ATL,-4,594,-19
DL,2234,BWI,MSP,44,936,36
DL,2480,MDT,ATL,-6,620,-35
B6,2180,EWR,BOS,-6,200,-11
EV,5221,SCE,DTW,-15,301,-25
F9,308,GEG,DEN,-7,836,-6
NK,969,BWI,ORD,-6,622,4
OO,6557,SBA,PHX,-3,455,12
OO,6564,SBP,PHX,-8,509,-11
EV,4418,PNS,IAH,-6,489,-4
OO,6230,COS,DEN,-6,73,-9
EV,3272,CLE,ORD,-4,315,-10
HA,104,LIH,HNL,-7,102,-9
OO,7396,TWF,SLC,-1,175,1
DL,1592,SAN,ATL,-1,1892,-19
UA,195,BDL,ORD,11,783,5
US,649,LAX,PHX,-5,370,4
US,674,EWR,PHX,0,2133,22
US,835,PHL,CLT,0,449,-2
UA,572,AUS,IAH,28,140,20
UA,577,SFO,EWR,76,2565,55
OO,5628,RNO,SFO,-11,192,-6
WN,4570,SEA,MDW,4,1733,-9
WN,660,SJU,TPA,-1,1237,3
UA,1231,HNL,LAX,2,2556,-15
US,401,CLT,PHL,-7,449,-1
US,433,JFK,PHX,-2,2153,5
US,567,SAN,PHX,-7,304,7
US,595,ONT,PHX,164,325,156
AA,148,MIA,CLT,-6,650,-11
AA,330,PBI,ORD,-4,1144,8
AA,1381,EWR,DFW,-3,1372,10
AS,157,ANC,OTZ,-8,548,-10
AS,499,SAN,SEA,-3,1050,-9
AS,573,SAN,PDX,-6,933,-8
B6,23,JFK,LAX,-3,2475,4
B6,1099,LGA,MCO,-1,950,-30
B6,929,JFK,RSW,-2,1074,-17
B6,1285,BOS,PIT,19,496,2
DL,418,SFO,JFK,-2,2586,-20
DL,783,MSP,ATL,-4,907,-16
DL,1984,AUS,ATL,-5,813,-22
DL,2114,COS,ATL,2,1184,-7
